Sr. No,Image,Object_Class,Confidence
433,89437.png,tie,tensor(0.71807)
434,64758.png,person,tensor(0.66726)
434,64758.png,person,tensor(0.60381)
434,64758.png,person,tensor(0.51521)
435,87126.png,person,tensor(0.84017)
435,87126.png,person,tensor(0.72306)
435,87126.png,person,tensor(0.61339)
436,36254.png,dog,tensor(0.57147)
437,46375.png,person,tensor(0.76859)
438,21943.png,person,tensor(0.57615)
440,26184.png,person,tensor(0.59993)
441,75943.png,person,tensor(0.66886)
442,58412.png,person,tensor(0.80928)
442,58412.png,person,tensor(0.77273)
442,58412.png,cow,tensor(0.67765)
442,58412.png,person,tensor(0.63824)
442,58412.png,cow,tensor(0.63470)
442,58412.png,cow,tensor(0.58404)
442,58412.png,cow,tensor(0.53052)
442,58412.png,car,tensor(0.51354)
443,36954.png,person,tensor(0.66775)
444,24083.png,person,tensor(0.79561)
444,24083.png,person,tensor(0.70675)
444,24083.png,person,tensor(0.70015)
444,24083.png,person,tensor(0.69763)
444,24083.png,person,tensor(0.67533)
444,24083.png,person,tensor(0.67396)
444,24083.png,person,tensor(0.56867)
445,95863.png,person,tensor(0.64281)
447,76521.png,horse,tensor(0.67412)
447,76521.png,cow,tensor(0.64726)
447,76521.png,cow,tensor(0.57705)
447,76521.png,person,tensor(0.55291)
450,43095.png,person,tensor(0.77786)
450,43095.png,person,tensor(0.75363)
450,43095.png,person,tensor(0.64574)
450,43095.png,person,tensor(0.64238)
450,43095.png,person,tensor(0.62838)
450,43095.png,person,tensor(0.61902)
450,43095.png,person,tensor(0.60875)
450,43095.png,person,tensor(0.59690)
450,43095.png,person,tensor(0.58123)
450,43095.png,person,tensor(0.55273)
451,51670.png,person,tensor(0.73977)
452,85749.png,dog,tensor(0.67163)
452,85749.png,person,tensor(0.63267)
452,85749.png,dog,tensor(0.59039)
453,07352.png,person,tensor(0.91957)
454,37658.png,person,tensor(0.84668)
454,37658.png,person,tensor(0.56435)
456,85192.png,person,tensor(0.58047)
457,64532.png,person,tensor(0.55494)
457,64532.png,person,tensor(0.54793)
457,64532.png,person,tensor(0.53532)
457,64532.png,person,tensor(0.53270)
457,64532.png,person,tensor(0.51001)
459,97831.png,person,tensor(0.64723)
460,49153.png,person,tensor(0.84986)
460,49153.png,person,tensor(0.82500)
460,49153.png,person,tensor(0.68923)
460,49153.png,person,tensor(0.63861)
460,49153.png,person,tensor(0.55352)
460,49153.png,person,tensor(0.54295)
461,92354.png,person,tensor(0.58817)
462,31280.png,person,tensor(0.63215)
462,31280.png,person,tensor(0.61481)
463,74901.png,person,tensor(0.58928)
464,59836.png,person,tensor(0.62827)
466,40752.png,person,tensor(0.79364)
466,40752.png,person,tensor(0.72831)
466,40752.png,person,tensor(0.70917)
466,40752.png,person,tensor(0.66058)
466,40752.png,person,tensor(0.62813)
466,40752.png,car,tensor(0.56415)
466,40752.png,person,tensor(0.54671)
468,20381.png,person,tensor(0.87315)
468,20381.png,person,tensor(0.84938)
468,20381.png,person,tensor(0.80304)
468,20381.png,person,tensor(0.71192)
468,20381.png,person,tensor(0.71130)
468,20381.png,person,tensor(0.67775)
468,20381.png,person,tensor(0.64718)
468,20381.png,person,tensor(0.62157)
468,20381.png,person,tensor(0.60845)
468,20381.png,person,tensor(0.54651)
472,24738.png,person,tensor(0.71965)
473,87130.png,person,tensor(0.90977)
473,87130.png,person,tensor(0.79212)
474,47159.png,person,tensor(0.71107)
476,43089.png,person,tensor(0.80263)
478,79425.png,tie,tensor(0.92046)
478,79425.png,person,tensor(0.57741)
482,71529.png,person,tensor(0.51661)
487,89732.png,car,tensor(0.51464)
489,52140.png,person,tensor(0.82616)
489,52140.png,person,tensor(0.53608)
492,91348.png,person,tensor(0.66634)
493,41027.png,person,tensor(0.84392)
494,57823.png,person,tensor(0.66877)
495,23197.png,person,tensor(0.91889)
496,43180.png,remote,tensor(0.78494)
496,43180.png,person,tensor(0.55551)
497,43265.png,bird,tensor(0.53950)
498,76045.png,person,tensor(0.58647)
499,52394.png,person,tensor(0.56654)
500,67041.png,person,tensor(0.50123)
504,04126.png,person,tensor(0.77629)
505,82510.png,person,tensor(0.52424)
507,70153.png,person,tensor(0.85515)
507,70153.png,person,tensor(0.82404)
507,70153.png,person,tensor(0.82270)
507,70153.png,person,tensor(0.69002)
507,70153.png,person,tensor(0.62474)
507,70153.png,person,tensor(0.61694)
507,70153.png,tie,tensor(0.51200)
508,24781.png,person,tensor(0.54516)
509,69815.png,person,tensor(0.63303)
510,58497.png,person,tensor(0.66861)
512,52970.png,person,tensor(0.83881)
513,50962.png,person,tensor(0.81415)
513,50962.png,person,tensor(0.68985)
513,50962.png,person,tensor(0.64568)
513,50962.png,person,tensor(0.63331)
519,68519.png,tie,tensor(0.67814)
519,68519.png,tie,tensor(0.62701)
519,68519.png,person,tensor(0.50842)
520,04783.png,tie,tensor(0.88514)
520,04783.png,tie,tensor(0.86397)
520,04783.png,person,tensor(0.85246)
520,04783.png,person,tensor(0.84111)
520,04783.png,person,tensor(0.82210)
520,04783.png,person,tensor(0.74542)
520,04783.png,person,tensor(0.74018)
525,69174.png,person,tensor(0.87601)
526,05421.png,truck,tensor(0.58050)
527,97245.png,person,tensor(0.74889)
528,17934.png,person,tensor(0.73695)
529,01325.png,person,tensor(0.72482)
530,57093.png,person,tensor(0.62034)
534,84059.png,person,tensor(0.84165)
536,13842.png,truck,tensor(0.50320)
537,19705.png,person,tensor(0.69654)
539,45176.png,person,tensor(0.61357)
541,98561.png,person,tensor(0.81791)
541,98561.png,person,tensor(0.60568)
541,98561.png,bottle,tensor(0.50444)
542,09634.png,person,tensor(0.68320)
542,09634.png,person,tensor(0.66736)
542,09634.png,person,tensor(0.60096)
542,09634.png,person,tensor(0.59960)
542,09634.png,person,tensor(0.59284)
543,57043.png,person,tensor(0.66043)
544,13540.png,cow,tensor(0.86709)
545,92845.png,person,tensor(0.78245)
545,92845.png,sheep,tensor(0.74708)
545,92845.png,sheep,tensor(0.72622)
545,92845.png,sheep,tensor(0.55887)
545,92845.png,person,tensor(0.53848)
545,92845.png,sheep,tensor(0.53688)
545,92845.png,person,tensor(0.51984)
546,76142.png,person,tensor(0.66511)
547,23908.png,person,tensor(0.61387)
547,23908.png,person,tensor(0.57177)
547,23908.png,person,tensor(0.52804)
547,23908.png,person,tensor(0.51031)
547,23908.png,person,tensor(0.50304)
549,18067.png,person,tensor(0.90546)
549,18067.png,person,tensor(0.73201)
549,18067.png,person,tensor(0.70861)
549,18067.png,car,tensor(0.69562)
549,18067.png,person,tensor(0.67147)
549,18067.png,car,tensor(0.65106)
549,18067.png,car,tensor(0.59633)
549,18067.png,person,tensor(0.57377)
550,15907.png,person,tensor(0.75215)
550,15907.png,person,tensor(0.74598)
550,15907.png,person,tensor(0.69757)
551,60785.png,elephant,tensor(0.89445)
551,60785.png,elephant,tensor(0.85260)
551,60785.png,elephant,tensor(0.82907)
551,60785.png,elephant,tensor(0.71124)
552,95608.png,person,tensor(0.67843)
552,95608.png,person,tensor(0.67229)
552,95608.png,potted plant,tensor(0.63739)
554,29376.png,person,tensor(0.83135)
554,29376.png,person,tensor(0.79663)
554,29376.png,person,tensor(0.75716)
554,29376.png,person,tensor(0.55530)
554,29376.png,person,tensor(0.52673)
556,06125.png,cat,tensor(0.58039)
557,07853.png,dog,tensor(0.77039)
560,49261.png,person,tensor(0.52956)
561,47098.png,person,tensor(0.52587)
562,08462.png,person,tensor(0.61237)
564,57918.png,person,tensor(0.66383)
566,68579.png,tie,tensor(0.81049)
566,68579.png,person,tensor(0.81028)
566,68579.png,person,tensor(0.79469)
567,06154.png,person,tensor(0.55342)
568,37864.png,person,tensor(0.83861)
568,37864.png,cake,tensor(0.75646)
568,37864.png,person,tensor(0.66373)
568,37864.png,cake,tensor(0.58578)
568,37864.png,car,tensor(0.51451)
569,53140.png,person,tensor(0.88671)
569,53140.png,person,tensor(0.50874)
571,75609.png,tie,tensor(0.77717)
571,75609.png,person,tensor(0.58196)
574,82591.png,car,tensor(0.85975)
574,82591.png,car,tensor(0.81105)
574,82591.png,car,tensor(0.76837)
574,82591.png,car,tensor(0.66725)
574,82591.png,horse,tensor(0.59556)
574,82591.png,person,tensor(0.55135)
574,82591.png,person,tensor(0.54623)
574,82591.png,person,tensor(0.53017)
575,92478.png,person,tensor(0.89135)
575,92478.png,person,tensor(0.77619)
576,26034.png,person,tensor(0.76107)
576,26034.png,person,tensor(0.74681)
576,26034.png,person,tensor(0.62779)
577,06345.png,person,tensor(0.57524)
579,28579.png,person,tensor(0.92702)
580,15726.png,person,tensor(0.57066)
581,97638.png,person,tensor(0.71530)
581,97638.png,person,tensor(0.70709)
581,97638.png,person,tensor(0.55727)
582,76534.png,horse,tensor(0.84457)
582,76534.png,horse,tensor(0.77015)
582,76534.png,horse,tensor(0.73970)
582,76534.png,person,tensor(0.50663)
583,14823.png,person,tensor(0.53093)
584,86701.png,person,tensor(0.87470)
584,86701.png,cell phone,tensor(0.77912)
584,86701.png,person,tensor(0.74407)
584,86701.png,person,tensor(0.70360)
584,86701.png,person,tensor(0.58199)
586,71403.png,person,tensor(0.55911)
590,13906.png,person,tensor(0.84060)
590,13906.png,person,tensor(0.75634)
590,13906.png,person,tensor(0.75574)
590,13906.png,tie,tensor(0.74305)
590,13906.png,person,tensor(0.73898)
590,13906.png,person,tensor(0.67016)
592,94586.png,person,tensor(0.84512)
592,94586.png,person,tensor(0.77484)
592,94586.png,person,tensor(0.65521)
592,94586.png,person,tensor(0.55887)
593,21064.png,person,tensor(0.71827)
595,09516.png,clock,tensor(0.61737)
597,74209.png,banana,tensor(0.55040)
598,98276.png,person,tensor(0.87529)
598,98276.png,person,tensor(0.78785)
598,98276.png,person,tensor(0.78002)
598,98276.png,person,tensor(0.50679)
599,75021.png,sports ball,tensor(0.90289)
599,75021.png,sports ball,tensor(0.80305)
599,75021.png,person,tensor(0.66638)
599,75021.png,person,tensor(0.60065)
600,96370.png,airplane,tensor(0.77670)
602,45987.png,person,tensor(0.63385)
604,71628.png,frisbee,tensor(0.82810)
604,71628.png,frisbee,tensor(0.59208)
604,71628.png,person,tensor(0.53024)
607,48973.png,person,tensor(0.73705)
607,48973.png,dog,tensor(0.68396)
609,21403.png,tie,tensor(0.87176)
609,21403.png,person,tensor(0.66991)
612,64957.png,person,tensor(0.75448)
612,64957.png,oven,tensor(0.67183)
612,64957.png,bottle,tensor(0.63539)
612,64957.png,cat,tensor(0.59583)
613,37419.png,person,tensor(0.67612)
614,14028.png,person,tensor(0.80942)
614,14028.png,person,tensor(0.77125)
614,14028.png,person,tensor(0.65367)
618,93405.png,person,tensor(0.68510)
619,09682.png,person,tensor(0.90759)
619,09682.png,person,tensor(0.83719)
619,09682.png,cow,tensor(0.80393)
619,09682.png,person,tensor(0.74191)
619,09682.png,person,tensor(0.66784)
619,09682.png,cow,tensor(0.59110)
619,09682.png,cow,tensor(0.57671)
620,58176.png,cat,tensor(0.52244)
621,10345.png,person,tensor(0.60232)
621,10345.png,person,tensor(0.50265)
622,24360.png,person,tensor(0.60864)
623,62018.png,person,tensor(0.77371)
624,47581.png,cup,tensor(0.87720)
625,62301.png,tie,tensor(0.68898)
625,62301.png,tie,tensor(0.66880)
625,62301.png,person,tensor(0.65136)
625,62301.png,tie,tensor(0.54524)
625,62301.png,person,tensor(0.51345)
626,35104.png,person,tensor(0.83891)
627,62175.png,person,tensor(0.86548)
627,62175.png,person,tensor(0.61189)
627,62175.png,person,tensor(0.61011)
628,13702.png,horse,tensor(0.75325)
628,13702.png,person,tensor(0.69483)
629,93521.png,bus,tensor(0.86935)
630,84325.png,cup,tensor(0.71712)
630,84325.png,bottle,tensor(0.60834)
630,84325.png,person,tensor(0.53720)
630,84325.png,donut,tensor(0.51496)
631,41605.png,person,tensor(0.71160)
633,32150.png,person,tensor(0.54639)
637,74380.png,person,tensor(0.83259)
637,74380.png,sheep,tensor(0.74566)
637,74380.png,sheep,tensor(0.74204)
637,74380.png,person,tensor(0.58896)
637,74380.png,sheep,tensor(0.56530)
637,74380.png,sheep,tensor(0.52841)
638,95371.png,person,tensor(0.78232)
638,95371.png,potted plant,tensor(0.68283)
638,95371.png,person,tensor(0.65997)
639,06319.png,tie,tensor(0.90223)
640,75601.png,airplane,tensor(0.61353)
641,28541.png,person,tensor(0.88177)
641,28541.png,person,tensor(0.86161)
641,28541.png,person,tensor(0.79002)
641,28541.png,tie,tensor(0.77583)
642,71963.png,person,tensor(0.86143)
642,71963.png,person,tensor(0.71155)
642,71963.png,person,tensor(0.69151)
642,71963.png,person,tensor(0.65052)
642,71963.png,person,tensor(0.62350)
642,71963.png,person,tensor(0.54136)
642,71963.png,person,tensor(0.50358)
642,71963.png,person,tensor(0.50053)
645,30185.png,person,tensor(0.65616)
646,07438.png,person,tensor(0.78166)
646,07438.png,person,tensor(0.53895)
647,31427.png,person,tensor(0.91317)
648,62097.png,person,tensor(0.92258)
648,62097.png,person,tensor(0.79731)
648,62097.png,person,tensor(0.78820)
648,62097.png,backpack,tensor(0.69576)
648,62097.png,backpack,tensor(0.67571)
650,67594.png,person,tensor(0.79743)
650,67594.png,bottle,tensor(0.77386)
650,67594.png,person,tensor(0.72937)
652,51928.png,tie,tensor(0.75432)
654,60532.png,person,tensor(0.56164)
654,60532.png,person,tensor(0.53022)
655,16785.png,person,tensor(0.56078)
656,95321.png,cell phone,tensor(0.66016)
657,90185.png,person,tensor(0.68359)
658,31295.png,cup,tensor(0.79012)
658,31295.png,tie,tensor(0.66307)
658,31295.png,person,tensor(0.63098)
659,28497.png,person,tensor(0.69294)
661,61304.png,person,tensor(0.62029)
661,61304.png,cup,tensor(0.58080)
661,61304.png,bottle,tensor(0.53577)
662,63140.png,person,tensor(0.66813)
662,63140.png,person,tensor(0.66066)
663,37948.png,person,tensor(0.68067)
663,37948.png,person,tensor(0.58723)
663,37948.png,person,tensor(0.53305)
664,91027.png,person,tensor(0.94271)
664,91027.png,person,tensor(0.71471)
665,67130.png,person,tensor(0.56487)
666,43521.png,person,tensor(0.76788)
667,46971.png,person,tensor(0.69804)
667,46971.png,person,tensor(0.60289)
667,46971.png,person,tensor(0.60216)
667,46971.png,person,tensor(0.59196)
667,46971.png,person,tensor(0.51047)
669,98513.png,person,tensor(0.57792)
669,98513.png,person,tensor(0.50511)
670,86912.png,person,tensor(0.57730)
670,86912.png,tie,tensor(0.51636)
674,91372.png,tie,tensor(0.74399)
674,91372.png,person,tensor(0.73565)
677,91365.png,person,tensor(0.74381)
677,91365.png,person,tensor(0.53643)
678,05841.png,person,tensor(0.56198)
678,05841.png,person,tensor(0.52182)
681,85139.png,person,tensor(0.75312)
687,47263.png,person,tensor(0.67460)
688,20869.png,person,tensor(0.57334)
691,07496.png,person,tensor(0.61550)
693,28659.png,person,tensor(0.79704)
693,28659.png,person,tensor(0.74136)
693,28659.png,person,tensor(0.72759)
693,28659.png,person,tensor(0.70912)
693,28659.png,person,tensor(0.68061)
693,28659.png,person,tensor(0.57095)
693,28659.png,person,tensor(0.53203)
695,40832.png,person,tensor(0.89501)
697,90761.png,person,tensor(0.85116)
697,90761.png,tie,tensor(0.84839)
698,86453.png,person,tensor(0.61665)
700,82316.png,person,tensor(0.58755)
700,82316.png,person,tensor(0.53946)
703,58204.png,person,tensor(0.57150)
704,01529.png,person,tensor(0.53199)
705,21038.png,person,tensor(0.78150)
705,21038.png,person,tensor(0.75806)
705,21038.png,person,tensor(0.73015)
705,21038.png,person,tensor(0.67403)
705,21038.png,person,tensor(0.62843)
705,21038.png,person,tensor(0.62113)
705,21038.png,person,tensor(0.61612)
705,21038.png,person,tensor(0.53398)
707,06731.png,person,tensor(0.90458)
708,53089.png,tie,tensor(0.84109)
709,79128.png,person,tensor(0.73362)
709,79128.png,bird,tensor(0.69980)
710,96172.png,person,tensor(0.90468)
710,96172.png,person,tensor(0.79383)
711,20396.png,person,tensor(0.63670)
711,20396.png,bottle,tensor(0.52294)
711,20396.png,person,tensor(0.51204)
713,56104.png,person,tensor(0.65100)
713,56104.png,person,tensor(0.59889)
713,56104.png,cell phone,tensor(0.50005)
715,52904.png,person,tensor(0.64141)
717,78921.png,bear,tensor(0.86499)
719,91072.png,person,tensor(0.72725)
720,09657.png,tie,tensor(0.83710)
720,09657.png,tie,tensor(0.78319)
720,09657.png,person,tensor(0.71959)
720,09657.png,person,tensor(0.61403)
721,94305.png,person,tensor(0.60492)
722,70189.png,person,tensor(0.93179)
724,93512.png,person,tensor(0.50272)
728,96145.png,person,tensor(0.84680)
728,96145.png,person,tensor(0.63453)
728,96145.png,person,tensor(0.62935)
728,96145.png,person,tensor(0.55047)
731,81026.png,person,tensor(0.88856)
731,81026.png,person,tensor(0.88667)
731,81026.png,tie,tensor(0.87825)
731,81026.png,person,tensor(0.84344)
731,81026.png,person,tensor(0.79832)
731,81026.png,person,tensor(0.72072)
731,81026.png,tie,tensor(0.71685)
731,81026.png,laptop,tensor(0.67039)
731,81026.png,tie,tensor(0.63615)
733,13096.png,person,tensor(0.83129)
733,13096.png,sheep,tensor(0.76057)
733,13096.png,sheep,tensor(0.67866)
733,13096.png,umbrella,tensor(0.60595)
734,14329.png,tie,tensor(0.58165)
734,14329.png,person,tensor(0.50751)
736,43780.png,person,tensor(0.86592)
736,43780.png,person,tensor(0.74154)
736,43780.png,person,tensor(0.57860)
736,43780.png,person,tensor(0.56985)
739,94813.png,person,tensor(0.89398)
739,94813.png,person,tensor(0.75033)
739,94813.png,bottle,tensor(0.71474)
740,86209.png,person,tensor(0.78632)
742,64780.png,person,tensor(0.68699)
743,83061.png,laptop,tensor(0.54990)
745,16248.png,person,tensor(0.64264)
747,31892.png,person,tensor(0.88709)
747,31892.png,person,tensor(0.88257)
747,31892.png,person,tensor(0.87081)
747,31892.png,person,tensor(0.75760)
749,02937.png,person,tensor(0.53079)
751,79285.png,person,tensor(0.95442)
751,79285.png,person,tensor(0.95160)
751,79285.png,tie,tensor(0.90382)
755,36892.png,person,tensor(0.66953)
756,32806.png,person,tensor(0.89709)
756,32806.png,person,tensor(0.72493)
757,03876.png,person,tensor(0.87313)
757,03876.png,person,tensor(0.76354)
757,03876.png,person,tensor(0.67897)
757,03876.png,person,tensor(0.65080)
757,03876.png,person,tensor(0.64724)
758,24853.png,person,tensor(0.53026)
759,06832.png,person,tensor(0.85969)
759,06832.png,tie,tensor(0.75610)
759,06832.png,person,tensor(0.69441)
759,06832.png,tie,tensor(0.55681)
759,06832.png,person,tensor(0.51780)
760,51037.png,person,tensor(0.65102)
760,51037.png,person,tensor(0.51344)
763,57109.png,person,tensor(0.83781)
764,73140.png,bear,tensor(0.82013)
764,73140.png,bear,tensor(0.53108)
765,78541.png,cat,tensor(0.79649)
765,78541.png,dog,tensor(0.52294)
766,86917.png,person,tensor(0.80829)
767,17589.png,person,tensor(0.85519)
767,17589.png,person,tensor(0.82734)
767,17589.png,motorcycle,tensor(0.82197)
767,17589.png,person,tensor(0.81501)
767,17589.png,person,tensor(0.78708)
767,17589.png,person,tensor(0.70766)
767,17589.png,person,tensor(0.69778)
767,17589.png,person,tensor(0.66034)
767,17589.png,person,tensor(0.59707)
768,81295.png,person,tensor(0.70277)
768,81295.png,person,tensor(0.65302)
771,81206.png,person,tensor(0.53568)
773,20379.png,person,tensor(0.92555)
773,20379.png,person,tensor(0.90294)
773,20379.png,person,tensor(0.89934)
773,20379.png,person,tensor(0.89592)
773,20379.png,person,tensor(0.85038)
774,25103.png,person,tensor(0.58977)
775,95078.png,person,tensor(0.76667)
775,95078.png,chair,tensor(0.73054)
777,61802.png,person,tensor(0.74363)
777,61802.png,person,tensor(0.51274)
778,50731.png,person,tensor(0.68760)
778,50731.png,person,tensor(0.57488)
778,50731.png,person,tensor(0.56826)
778,50731.png,person,tensor(0.51269)
779,42189.png,car,tensor(0.78684)
779,42189.png,car,tensor(0.77693)
779,42189.png,dog,tensor(0.75568)
779,42189.png,dog,tensor(0.75066)
779,42189.png,dog,tensor(0.69752)
779,42189.png,person,tensor(0.67870)
779,42189.png,dog,tensor(0.65728)
779,42189.png,dog,tensor(0.63676)
779,42189.png,person,tensor(0.63373)
779,42189.png,dog,tensor(0.59382)
779,42189.png,person,tensor(0.55540)
779,42189.png,dog,tensor(0.54880)
779,42189.png,truck,tensor(0.52728)
779,42189.png,car,tensor(0.50765)
779,42189.png,dog,tensor(0.50671)
780,80254.png,person,tensor(0.82641)
780,80254.png,vase,tensor(0.63339)
780,80254.png,person,tensor(0.63240)
782,03298.png,person,tensor(0.63588)
782,03298.png,couch,tensor(0.61655)
782,03298.png,bed,tensor(0.61252)
783,01642.png,person,tensor(0.54629)
784,08563.png,person,tensor(0.76925)
784,08563.png,person,tensor(0.73554)
784,08563.png,person,tensor(0.71075)
784,08563.png,person,tensor(0.66746)
784,08563.png,person,tensor(0.50938)
786,78945.png,tie,tensor(0.59724)
786,78945.png,tie,tensor(0.53204)
787,89571.png,person,tensor(0.80986)
787,89571.png,dog,tensor(0.59149)
788,76519.png,person,tensor(0.80528)
788,76519.png,person,tensor(0.73740)
788,76519.png,person,tensor(0.67181)
788,76519.png,person,tensor(0.63406)
788,76519.png,cell phone,tensor(0.58744)
788,76519.png,handbag,tensor(0.54571)
789,62019.png,person,tensor(0.69480)
790,53694.png,person,tensor(0.63938)
790,53694.png,person,tensor(0.53570)
791,17623.png,person,tensor(0.87120)
791,17623.png,person,tensor(0.69610)
791,17623.png,bicycle,tensor(0.53440)
792,14236.png,person,tensor(0.81977)
793,98504.png,person,tensor(0.50980)
795,30914.png,person,tensor(0.51621)
796,31284.png,person,tensor(0.90024)
796,31284.png,person,tensor(0.84785)
796,31284.png,person,tensor(0.81933)
797,13852.png,person,tensor(0.72342)
798,50482.png,person,tensor(0.56141)
799,54270.png,person,tensor(0.59419)
802,36120.png,person,tensor(0.79358)
802,36120.png,person,tensor(0.67705)
802,36120.png,chair,tensor(0.66377)
803,15290.png,person,tensor(0.59680)
805,31270.png,person,tensor(0.71164)
806,80154.png,person,tensor(0.51623)
809,83096.png,person,tensor(0.50946)
811,50643.png,bird,tensor(0.83981)
811,50643.png,bird,tensor(0.75819)
811,50643.png,bird,tensor(0.58125)
811,50643.png,bird,tensor(0.58060)
811,50643.png,bird,tensor(0.57121)
811,50643.png,bird,tensor(0.54700)
811,50643.png,bird,tensor(0.51462)
812,91827.png,person,tensor(0.50047)
813,24980.png,person,tensor(0.63605)
814,34756.png,person,tensor(0.63977)
815,90235.png,person,tensor(0.84523)
815,90235.png,person,tensor(0.58900)
818,96824.png,person,tensor(0.84637)
818,96824.png,person,tensor(0.82269)
819,53609.png,person,tensor(0.64842)
821,35460.png,person,tensor(0.72572)
825,84057.png,person,tensor(0.80540)
825,84057.png,person,tensor(0.79086)
825,84057.png,umbrella,tensor(0.74879)
826,08175.png,tie,tensor(0.83151)
826,08175.png,person,tensor(0.70526)
827,65204.png,tie,tensor(0.84673)
827,65204.png,person,tensor(0.72776)
827,65204.png,tie,tensor(0.71295)
827,65204.png,person,tensor(0.62775)
828,70534.png,person,tensor(0.71988)
828,70534.png,person,tensor(0.64536)
828,70534.png,person,tensor(0.62360)
828,70534.png,cell phone,tensor(0.61176)
829,94532.png,person,tensor(0.81544)
829,94532.png,person,tensor(0.54692)
831,68270.png,person,tensor(0.83164)
833,63845.png,dog,tensor(0.87111)
834,89762.png,person,tensor(0.63919)
835,96241.png,person,tensor(0.85044)
835,96241.png,person,tensor(0.80308)
835,96241.png,person,tensor(0.76369)
835,96241.png,person,tensor(0.74708)
835,96241.png,person,tensor(0.65118)
835,96241.png,person,tensor(0.54737)
835,96241.png,person,tensor(0.51303)
836,03179.png,person,tensor(0.67973)
837,20978.png,chair,tensor(0.80835)
837,20978.png,bowl,tensor(0.80504)
837,20978.png,person,tensor(0.77132)
837,20978.png,bowl,tensor(0.75612)
837,20978.png,person,tensor(0.69266)
838,73125.png,dog,tensor(0.85735)
838,73125.png,person,tensor(0.70041)
838,73125.png,person,tensor(0.68632)
838,73125.png,person,tensor(0.67892)
838,73125.png,person,tensor(0.59380)
838,73125.png,person,tensor(0.50586)
839,41379.png,person,tensor(0.77794)
839,41379.png,person,tensor(0.64592)
840,51094.png,toothbrush,tensor(0.65172)
840,51094.png,person,tensor(0.51241)
841,52978.png,person,tensor(0.76426)
841,52978.png,tie,tensor(0.64462)
842,38245.png,person,tensor(0.64590)
842,38245.png,person,tensor(0.57138)
842,38245.png,sports ball,tensor(0.53577)
843,27468.png,person,tensor(0.86474)
843,27468.png,person,tensor(0.75667)
843,27468.png,person,tensor(0.58719)
843,27468.png,person,tensor(0.51334)
844,89740.png,person,tensor(0.75816)
844,89740.png,person,tensor(0.61626)
844,89740.png,person,tensor(0.59685)
844,89740.png,person,tensor(0.58461)
844,89740.png,person,tensor(0.58241)
844,89740.png,person,tensor(0.55820)
844,89740.png,person,tensor(0.52699)
844,89740.png,person,tensor(0.52194)
844,89740.png,tie,tensor(0.51269)
845,26983.png,person,tensor(0.52193)
846,94861.png,person,tensor(0.75750)
846,94861.png,person,tensor(0.50717)
847,14086.png,cell phone,tensor(0.76499)
847,14086.png,cell phone,tensor(0.65455)
849,48920.png,person,tensor(0.54503)
851,84265.png,person,tensor(0.80758)
851,84265.png,person,tensor(0.61071)
851,84265.png,person,tensor(0.57159)
853,86215.png,person,tensor(0.53724)
854,96845.png,person,tensor(0.53539)
856,18953.png,person,tensor(0.66824)
856,18953.png,person,tensor(0.64401)
857,45180.png,person,tensor(0.78465)
859,26374.png,sheep,tensor(0.59295)
859,26374.png,sheep,tensor(0.52659)
860,18469.png,person,tensor(0.87826)
861,73681.png,person,tensor(0.66806)
862,03927.png,horse,tensor(0.78367)
862,03927.png,person,tensor(0.56506)
862,03927.png,person,tensor(0.54670)
863,07354.png,person,tensor(0.70146)
864,71653.png,car,tensor(0.72261)
864,71653.png,car,tensor(0.68074)
865,96180.png,person,tensor(0.91510)
865,96180.png,person,tensor(0.64442)
868,71502.png,dog,tensor(0.52010)
870,74308.png,cow,tensor(0.83218)
870,74308.png,person,tensor(0.77396)
870,74308.png,person,tensor(0.62418)
870,74308.png,person,tensor(0.59199)
871,24607.png,tie,tensor(0.86640)
871,24607.png,person,tensor(0.71002)
872,51460.png,person,tensor(0.57121)
874,64312.png,person,tensor(0.59573)
875,95872.png,person,tensor(0.70084)
877,29708.png,person,tensor(0.59881)
880,07628.png,person,tensor(0.74140)
881,28374.png,person,tensor(0.84204)
881,28374.png,person,tensor(0.83309)
881,28374.png,person,tensor(0.75164)
881,28374.png,person,tensor(0.70329)
881,28374.png,person,tensor(0.68562)
881,28374.png,person,tensor(0.59622)
881,28374.png,person,tensor(0.54920)
884,04719.png,person,tensor(0.65268)
886,28463.png,dog,tensor(0.81908)
886,28463.png,person,tensor(0.67915)
886,28463.png,person,tensor(0.64985)
886,28463.png,surfboard,tensor(0.58706)
887,54209.png,person,tensor(0.70569)
887,54209.png,person,tensor(0.69132)
887,54209.png,person,tensor(0.57534)
888,51389.png,person,tensor(0.77718)
889,73180.png,person,tensor(0.71491)
889,73180.png,banana,tensor(0.54101)
892,57421.png,person,tensor(0.83002)
892,57421.png,person,tensor(0.66385)
892,57421.png,person,tensor(0.57020)
892,57421.png,person,tensor(0.52963)
894,71294.png,person,tensor(0.71996)
894,71294.png,person,tensor(0.70896)
894,71294.png,person,tensor(0.70294)
894,71294.png,person,tensor(0.66435)
894,71294.png,person,tensor(0.56353)
894,71294.png,person,tensor(0.55593)
894,71294.png,tie,tensor(0.52960)
895,61840.png,person,tensor(0.92232)
895,61840.png,person,tensor(0.88544)
895,61840.png,person,tensor(0.81030)
895,61840.png,person,tensor(0.71976)
895,61840.png,person,tensor(0.70338)
895,61840.png,person,tensor(0.69400)
895,61840.png,person,tensor(0.51692)
